Epoch 1, Gen Loss: -6.1257, Disc Loss: 4.8127, Time: 421.26 sec
Epoch 2, Gen Loss: -2.5632, Disc Loss: -1.4798, Time: 425.43 sec
Epoch 3, Gen Loss: 0.7734, Disc Loss: -0.7834, Time: 424.39 sec
Epoch 4, Gen Loss: 1.7475, Disc Loss: -0.6179, Time: 421.18 sec
Epoch 5, Gen Loss: 2.5209, Disc Loss: -0.1703, Time: 420.75 sec
Epoch 6, Gen Loss: 1.7575, Disc Loss: 0.3229, Time: 419.93 sec
Epoch 7, Gen Loss: 5.1160, Disc Loss: -0.3585, Time: 420.93 sec
Epoch 8, Gen Loss: 5.2141, Disc Loss: -0.0399, Time: 422.31 sec
Epoch 9, Gen Loss: 5.0363, Disc Loss: 0.1274, Time: 419.12 sec
Epoch 10, Gen Loss: 5.8907, Disc Loss: -0.0616, Time: 417.56 sec
Epoch 11, Gen Loss: 7.2220, Disc Loss: -0.2175, Time: 420.43 sec
Epoch 12, Gen Loss: 7.6588, Disc Loss: -0.1514, Time: 419.86 sec
Epoch 13, Gen Loss: 6.9244, Disc Loss: -0.4475, Time: 418.05 sec
Epoch 14, Gen Loss: 7.1461, Disc Loss: -0.0791, Time: 418.88 sec
Epoch 15, Gen Loss: 7.8962, Disc Loss: 0.0720, Time: 421.13 sec
